timestamp,epoch_seconds,power_draw_w,power_limit_w,gpu_utilization,memory_used_mb,temperature_gpu
2026-07-15T13:08:28.117514,0.115,9.76,0.0,91.0,0.0,41.0
2026-07-15T13:08:28.727986,0.726,9.73,0.0,93.0,0.0,41.0
2026-07-15T13:08:29.324956,1.323,9.77,0.0,93.0,0.0,41.0
2026-07-15T13:08:29.898002,1.896,9.83,0.0,94.0,0.0,41.0
2026-07-15T13:08:30.466263,2.464,7.96,0.0,0.0,0.0,40.0
2026-07-15T13:08:31.017158,3.015,6.11,0.0,0.0,0.0,40.0
2026-07-15T13:08:31.568321,3.566,6.08,0.0,0.0,0.0,40.0
2026-07-15T13:08:32.120847,4.119,6.08,0.0,0.0,0.0,40.0
2026-07-15T13:08:32.689659,4.688,8.8,0.0,93.0,0.0,41.0
2026-07-15T13:08:33.263559,5.261,10.03,0.0,93.0,0.0,41.0
2026-07-15T13:08:33.830848,5.829,9.07,0.0,91.0,0.0,41.0
2026-07-15T13:08:34.396161,6.394,9.05,0.0,93.0,0.0,41.0
2026-07-15T13:08:35.009591,7.008,9.0,0.0,89.0,0.0,41.0
2026-07-15T13:08:35.578549,7.576,8.98,0.0,93.0,0.0,41.0
2026-07-15T13:08:36.148274,8.146,9.07,0.0,92.0,0.0,41.0
2026-07-15T13:08:36.714464,8.712,9.06,0.0,91.0,0.0,41.0
2026-07-15T13:08:37.320817,9.319,9.07,0.0,93.0,0.0,41.0
2026-07-15T13:08:37.886199,9.884,9.08,0.0,93.0,0.0,41.0
2026-07-15T13:08:38.452261,10.45,9.05,0.0,93.0,0.0,41.0
2026-07-15T13:08:39.021735,11.02,9.09,0.0,92.0,0.0,41.0
2026-07-15T13:08:39.631961,11.63,9.03,0.0,90.0,0.0,41.0
2026-07-15T13:08:40.200939,12.199,8.99,0.0,91.0,0.0,41.0
2026-07-15T13:08:40.777429,12.775,9.07,0.0,93.0,0.0,41.0
2026-07-15T13:08:41.360140,13.358,9.05,0.0,93.0,0.0,41.0
2026-07-15T13:08:41.929646,13.928,9.08,0.0,94.0,0.0,41.0
2026-07-15T13:08:42.494435,14.492,9.11,0.0,93.0,0.0,41.0
2026-07-15T13:08:43.060936,15.059,9.11,0.0,93.0,0.0,41.0
2026-07-15T13:08:43.630196,15.628,9.1,0.0,94.0,0.0,41.0
2026-07-15T13:08:44.194783,16.193,9.06,0.0,91.0,0.0,41.0
2026-07-15T13:08:44.765493,16.763,9.06,0.0,94.0,0.0,41.0
2026-07-15T13:08:45.342490,17.34,9.11,0.0,92.0,0.0,41.0
2026-07-15T13:08:45.910717,17.909,9.11,0.0,92.0,0.0,41.0
2026-07-15T13:08:46.517370,18.515,9.13,0.0,92.0,0.0,41.0
2026-07-15T13:08:47.088554,19.086,9.13,0.0,93.0,0.0,41.0
2026-07-15T13:08:47.661787,19.66,9.14,0.0,93.0,0.0,41.0
2026-07-15T13:08:48.232235,20.23,9.13,0.0,93.0,0.0,41.0
2026-07-15T13:08:48.801253,20.799,9.11,0.0,93.0,0.0,41.0
2026-07-15T13:08:49.364643,21.363,9.1,0.0,93.0,0.0,41.0
2026-07-15T13:08:49.935521,21.933,9.1,0.0,93.0,0.0,41.0
2026-07-15T13:08:50.506363,22.504,9.1,0.0,93.0,0.0,41.0
2026-07-15T13:08:51.076165,23.074,9.1,0.0,91.0,0.0,41.0
2026-07-15T13:08:51.647450,23.645,9.1,0.0,92.0,0.0,41.0
2026-07-15T13:08:52.222198,24.22,9.12,0.0,93.0,0.0,41.0
2026-07-15T13:08:52.789695,24.788,9.1,0.0,92.0,0.0,41.0
2026-07-15T13:08:53.358468,25.356,9.09,0.0,94.0,0.0,41.0
2026-07-15T13:08:53.976092,25.974,9.13,0.0,94.0,0.0,41.0
2026-07-15T13:08:54.548421,26.546,9.12,0.0,93.0,0.0,41.0
2026-07-15T13:08:55.168644,27.167,9.14,0.0,92.0,0.0,41.0
2026-07-15T13:08:55.742999,27.741,9.09,0.0,93.0,0.0,41.0
2026-07-15T13:08:56.327270,28.325,9.12,0.0,93.0,0.0,41.0
2026-07-15T13:08:56.896829,28.895,9.12,0.0,93.0,0.0,41.0
2026-07-15T13:08:57.461322,29.459,9.11,0.0,92.0,0.0,41.0
2026-07-15T13:08:58.031249,30.029,9.11,0.0,93.0,0.0,41.0
2026-07-15T13:08:58.605007,30.603,9.12,0.0,94.0,0.0,41.0
2026-07-15T13:08:59.171519,31.169,9.11,0.0,92.0,0.0,41.0
2026-07-15T13:08:59.740714,31.739,9.11,0.0,93.0,0.0,41.0
2026-07-15T13:09:00.339735,32.338,9.15,0.0,93.0,0.0,41.0
2026-07-15T13:09:00.917283,32.915,9.14,0.0,92.0,0.0,41.0
2026-07-15T13:09:01.536595,33.535,9.1,0.0,90.0,0.0,41.0
2026-07-15T13:09:02.109893,34.108,9.1,0.0,93.0,0.0,41.0
2026-07-15T13:09:02.682079,34.68,9.14,0.0,94.0,0.0,41.0
2026-07-15T13:09:03.255202,35.253,9.12,0.0,92.0,0.0,41.0
2026-07-15T13:09:03.828804,35.827,9.15,0.0,93.0,0.0,41.0
2026-07-15T13:09:04.393914,36.392,9.13,0.0,93.0,0.0,41.0
2026-07-15T13:09:04.962887,36.961,9.1,0.0,92.0,0.0,41.0
2026-07-15T13:09:05.559767,37.558,9.11,0.0,91.0,0.0,41.0
2026-07-15T13:09:06.142930,38.141,9.06,0.0,89.0,0.0,41.0
2026-07-15T13:09:06.727615,38.726,8.99,0.0,87.0,0.0,41.0
2026-07-15T13:09:07.351520,39.349,9.02,0.0,91.0,0.0,41.0
2026-07-15T13:09:07.965125,39.963,8.74,0.0,40.0,0.0,41.0
2026-07-15T13:09:08.575330,40.573,7.34,0.0,24.0,0.0,41.0
2026-07-15T13:09:09.138349,41.136,6.82,0.0,20.0,0.0,41.0
2026-07-15T13:09:09.709620,41.708,6.81,0.0,21.0,0.0,41.0
2026-07-15T13:09:10.348975,42.347,6.86,0.0,21.0,0.0,41.0
2026-07-15T13:09:10.923531,42.921,6.83,0.0,21.0,0.0,41.0
2026-07-15T13:09:11.488223,43.486,6.82,0.0,22.0,0.0,41.0
2026-07-15T13:09:12.089622,44.088,6.81,0.0,21.0,0.0,41.0
2026-07-15T13:09:12.663784,44.662,7.09,0.0,29.0,0.0,41.0
2026-07-15T13:09:13.234183,45.232,8.46,0.0,94.0,0.0,41.0
2026-07-15T13:09:13.856782,45.855,9.14,0.0,94.0,0.0,41.0
2026-07-15T13:09:14.438485,46.436,9.12,0.0,91.0,0.0,41.0
2026-07-15T13:09:15.013604,47.012,9.13,0.0,94.0,0.0,41.0
2026-07-15T13:09:15.598426,47.596,9.14,0.0,93.0,0.0,41.0
2026-07-15T13:09:16.168457,48.166,9.11,0.0,92.0,0.0,41.0
2026-07-15T13:09:16.740368,48.738,9.11,0.0,94.0,0.0,41.0
2026-07-15T13:09:17.339458,49.337,9.15,0.0,94.0,0.0,41.0
2026-07-15T13:09:17.911996,49.91,9.16,0.0,94.0,0.0,41.0
2026-07-15T13:09:18.480940,50.479,9.15,0.0,94.0,0.0,41.0
2026-07-15T13:09:19.066834,51.065,9.14,0.0,94.0,0.0,41.0
2026-07-15T13:09:19.636108,51.634,9.15,0.0,94.0,0.0,41.0
2026-07-15T13:09:20.223234,52.221,9.16,0.0,94.0,0.0,41.0
2026-07-15T13:09:20.807968,52.806,9.15,0.0,94.0,0.0,41.0
2026-07-15T13:09:21.374813,53.373,9.12,0.0,94.0,0.0,41.0
2026-07-15T13:09:21.999813,53.998,9.12,0.0,91.0,0.0,41.0
2026-07-15T13:09:22.622918,54.621,9.1,0.0,92.0,0.0,41.0
2026-07-15T13:09:23.203454,55.201,9.11,0.0,90.0,0.0,41.0
2026-07-15T13:09:23.830049,55.828,9.09,0.0,91.0,0.0,41.0
2026-07-15T13:09:24.411761,56.41,9.09,0.0,92.0,0.0,41.0
2026-07-15T13:09:25.014437,57.012,8.81,0.0,83.0,0.0,42.0
2026-07-15T13:09:25.604139,57.602,7.45,0.0,20.0,0.0,41.0
2026-07-15T13:09:26.186814,58.185,7.2,0.0,48.0,0.0,41.0
2026-07-15T13:09:26.810253,58.808,8.5,0.0,90.0,0.0,41.0
2026-07-15T13:09:27.389151,59.387,9.01,0.0,88.0,0.0,41.0
2026-07-15T13:09:27.968441,59.966,8.99,0.0,88.0,0.0,41.0
2026-07-15T13:09:28.588898,60.587,8.98,0.0,88.0,0.0,41.0
2026-07-15T13:09:29.211803,61.21,8.98,0.0,90.0,0.0,41.0
2026-07-15T13:09:29.797675,61.796,9.02,0.0,90.0,0.0,41.0
2026-07-15T13:09:30.407311,62.405,9.03,0.0,89.0,0.0,41.0
2026-07-15T13:09:30.991278,62.989,9.0,0.0,89.0,0.0,41.0
2026-07-15T13:09:31.556964,63.555,8.97,0.0,90.0,0.0,41.0
2026-07-15T13:09:32.157089,64.155,8.63,0.0,28.0,0.0,41.0
2026-07-15T13:09:32.762041,64.76,7.48,0.0,21.0,0.0,41.0
2026-07-15T13:09:33.364996,65.363,6.88,0.0,22.0,0.0,41.0
2026-07-15T13:09:33.938255,65.936,6.89,0.0,22.0,0.0,41.0
2026-07-15T13:09:34.504869,66.503,6.89,0.0,26.0,0.0,41.0
2026-07-15T13:09:35.070457,67.068,6.87,0.0,22.0,0.0,41.0
2026-07-15T13:09:35.656359,67.654,7.71,0.0,88.0,0.0,41.0
2026-07-15T13:09:36.269144,68.267,9.01,0.0,91.0,0.0,41.0
2026-07-15T13:09:36.892866,68.891,9.06,0.0,92.0,0.0,41.0
2026-07-15T13:09:37.515530,69.513,9.06,0.0,91.0,0.0,41.0
2026-07-15T13:09:38.127718,70.126,9.06,0.0,92.0,0.0,41.0
